threshold,true_positives_tp,false_positives_fp,true_negatives_tn,false_negatives_fn,total_flagged_alerts,alert_rate_pct,precision_ppv,recall_sensitivity_tpr,specificity_tnr,false_positive_rate_fpr,false_discovery_rate_fdr,f1_score,f2_score_aml_weighted,accuracy
0.43,157,33,9298,87,190,1.984,0.8263,0.6434,0.9965,0.0035,0.1737,0.7235,0.6732,0.9875
0.44,157,33,9298,87,190,1.984,0.8263,0.6434,0.9965,0.0035,0.1737,0.7235,0.6732,0.9875
0.45,157,33,9298,87,190,1.984,0.8263,0.6434,0.9965,0.0035,0.1737,0.7235,0.6732,0.9875
0.46,157,33,9298,87,190,1.984,0.8263,0.6434,0.9965,0.0035,0.1737,0.7235,0.6732,0.9875
0.47,156,33,9298,88,189,1.974,0.8254,0.6393,0.9965,0.0035,0.1746,0.7206,0.6695,0.9874
0.48,156,33,9298,88,189,1.974,0.8254,0.6393,0.9965,0.0035,0.1746,0.7206,0.6695,0.9874
0.49,156,33,9298,88,189,1.974,0.8254,0.6393,0.9965,0.0035,0.1746,0.7206,0.6695,0.9874
0.5,156,33,9298,88,189,1.974,0.8254,0.6393,0.9965,0.0035,0.1746,0.7206,0.6695,0.9874
0.51,156,32,9299,88,188,1.963,0.8298,0.6393,0.9966,0.0034,0.1702,0.7222,0.6701,0.9875
0.52,156,31,9300,88,187,1.953,0.8342,0.6393,0.9967,0.0033,0.1658,0.7239,0.6707,0.9876
0.53,156,31,9300,88,187,1.953,0.8342,0.6393,0.9967,0.0033,0.1658,0.7239,0.6707,0.9876
0.54,156,31,9300,88,187,1.953,0.8342,0.6393,0.9967,0.0033,0.1658,0.7239,0.6707,0.9876
0.55,155,31,9300,89,186,1.943,0.8333,0.6352,0.9967,0.0033,0.1667,0.7209,0.667,0.9875
0.56,155,31,9300,89,186,1.943,0.8333,0.6352,0.9967,0.0033,0.1667,0.7209,0.667,0.9875
0.57,155,31,9300,89,186,1.943,0.8333,0.6352,0.9967,0.0033,0.1667,0.7209,0.667,0.9875
0.58,154,31,9300,90,185,1.932,0.8324,0.6311,0.9967,0.0033,0.1676,0.7179,0.6632,0.9874
0.59,154,31,9300,90,185,1.932,0.8324,0.6311,0.9967,0.0033,0.1676,0.7179,0.6632,0.9874
0.6,154,31,9300,90,185,1.932,0.8324,0.6311,0.9967,0.0033,0.1676,0.7179,0.6632,0.9874
0.61,154,31,9300,90,185,1.932,0.8324,0.6311,0.9967,0.0033,0.1676,0.7179,0.6632,0.9874
0.62,154,30,9301,90,184,1.922,0.837,0.6311,0.9968,0.0032,0.163,0.7196,0.6638,0.9875
0.63,154,30,9301,90,184,1.922,0.837,0.6311,0.9968,0.0032,0.163,0.7196,0.6638,0.9875
0.64,154,30,9301,90,184,1.922,0.837,0.6311,0.9968,0.0032,0.163,0.7196,0.6638,0.9875
0.65,154,30,9301,90,184,1.922,0.837,0.6311,0.9968,0.0032,0.163,0.7196,0.6638,0.9875
0.66,154,29,9302,90,183,1.911,0.8415,0.6311,0.9969,0.0031,0.1585,0.7213,0.6644,0.9876
0.67,154,29,9302,90,183,1.911,0.8415,0.6311,0.9969,0.0031,0.1585,0.7213,0.6644,0.9876
0.68,154,29,9302,90,183,1.911,0.8415,0.6311,0.9969,0.0031,0.1585,0.7213,0.6644,0.9876
0.69,153,29,9302,91,182,1.901,0.8407,0.627,0.9969,0.0031,0.1593,0.7183,0.6606,0.9875
0.7,153,29,9302,91,182,1.901,0.8407,0.627,0.9969,0.0031,0.1593,0.7183,0.6606,0.9875
0.7,153,29,9302,91,182,1.901,0.8407,0.627,0.9969,0.0031,0.1593,0.7183,0.6606,0.9875
0.71,153,29,9302,91,182,1.901,0.8407,0.627,0.9969,0.0031,0.1593,0.7183,0.6606,0.9875
0.72,153,29,9302,91,182,1.901,0.8407,0.627,0.9969,0.0031,0.1593,0.7183,0.6606,0.9875
0.73,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.74,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.75,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.76,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.77,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.78,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.79,152,29,9302,92,181,1.89,0.8398,0.623,0.9969,0.0031,0.1602,0.7153,0.6569,0.9874
0.8,152,28,9303,92,180,1.88,0.8444,0.623,0.997,0.003,0.1556,0.717,0.6574,0.9875
0.81,152,28,9303,92,180,1.88,0.8444,0.623,0.997,0.003,0.1556,0.717,0.6574,0.9875
0.82,152,28,9303,92,180,1.88,0.8444,0.623,0.997,0.003,0.1556,0.717,0.6574,0.9875
0.83,152,27,9304,92,179,1.869,0.8492,0.623,0.9971,0.0029,0.1508,0.7187,0.658,0.9876
0.84,152,27,9304,92,179,1.869,0.8492,0.623,0.9971,0.0029,0.1508,0.7187,0.658,0.9876
0.85,152,27,9304,92,179,1.869,0.8492,0.623,0.9971,0.0029,0.1508,0.7187,0.658,0.9876
0.86,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.87,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.88,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.89,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.9,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.91,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.92,151,27,9304,93,178,1.859,0.8483,0.6189,0.9971,0.0029,0.1517,0.7156,0.6542,0.9875
0.93,150,27,9304,94,177,1.849,0.8475,0.6148,0.9971,0.0029,0.1525,0.7126,0.6505,0.9874
0.94,149,27,9304,95,176,1.838,0.8466,0.6107,0.9971,0.0029,0.1534,0.7095,0.6467,0.9873
0.95,148,27,9304,96,175,1.828,0.8457,0.6066,0.9971,0.0029,0.1543,0.7064,0.6429,0.9872
0.95,148,27,9304,96,175,1.828,0.8457,0.6066,0.9971,0.0029,0.1543,0.7064,0.6429,0.9872
0.96,143,26,9305,101,169,1.765,0.8462,0.5861,0.9972,0.0028,0.1538,0.6925,0.6245,0.9867
0.97,142,26,9305,102,168,1.755,0.8452,0.582,0.9972,0.0028,0.1548,0.6893,0.6206,0.9866
0.98,136,26,9305,108,162,1.692,0.8395,0.5574,0.9972,0.0028,0.1605,0.67,0.5975,0.986
0.99,122,25,9306,122,147,1.535,0.8299,0.5,0.9973,0.0027,0.1701,0.624,0.5432,0.9846
